id,name,group,suggested_departments,suggested_sections,Job Purpose,Job Responsibility,Authority,Accountability,Daily Duties,Weekly Duties,Monthly Duties,Quarterly Duties,Half-Yearly Duties,Annual Duties,Required Competency,Required Training,Applicable ISO Requirements,Applicable SOP/WI,Designation Checklist,KPI,Target,Evidence/Record,Performance Evaluation,Supervisor/Reporting Line
451,Backend Developer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
452,Mobile App Developer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
453,Data Engineer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
454,Data Entry Operator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
455,System Operator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
456,MIS Manager,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
457,MIS Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
458,BI Analyst,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
459,Data Analyst,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
460,KPI Analyst,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
461,Security Manager,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
462,Security Supervisor,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
463,Security Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
464,Security Guard,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
465,Junior Security Guard,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
466,CCTV Operator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
467,Access Control Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
468,IMS Manager,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
469,IMS Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
470,ISO Coordinator,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
471,Document Controller,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
472,Document Control Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
473,Records Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
474,Internal Audit Manager,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
475,Lead Auditor,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
476,Internal Auditor,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
477,Audit Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
478,Buyer Audit Coordinator,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
479,External Audit Coordinator,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
480,Risk Manager,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
481,Risk Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
482,Risk Analyst,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
483,CAPA Coordinator,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
484,Continual Improvement Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
485,Business Continuity Manager,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
486,Business Continuity Officer,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
487,Crisis Management Coordinator,Audit / Risk / IMS / Document,Internal Audit Management; Risk Management; Integrated ISO Management System; Document & Record Management,Audit; IMS / ISO Control; Document Control; Record Control; Internal Audit; External Audit; Buyer Audit; Risk Assessment; Risk Register; CAPA; Continual Improvement,,,,,,,,,,,,,,,,,,,,
488,Driver,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
489,Senior Driver,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
490,Junior Driver,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
491,Lift Operator,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
492,Cleaner,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
493,Cleaner Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
494,Sweeper,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
495,Cook,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
496,Canteen Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
497,Canteen Boy,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
498,Loader,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
499,Technical In-charge,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
500,Technical Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
501,Technical Officer,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
502,Telephone Operator,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
503,Messenger,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
504,Peon,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
505,Folder,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
506,Folding Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
507,Asst. Bundle Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
508,Asst. Cutter,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
509,Asst. Electrician,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
510,Asst. Mechanic,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
511,Asst. Incharge,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
512,Asst. Issue Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
513,Asst. Lay Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
514,Asst. Manager,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
515,Asst. Merchandiser,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
516,Asst. Officer,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
517,Asst. Printer,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
518,Asst. Production Manager,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
519,Asst. Quality Incharge,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
520,Asst. Receive Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
521,Asst. Relax Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
522,Asst. Scissor Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
523,Asst. Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
524,Asst. Executive,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
525,Asst. Mechanic Incharge,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
526,Jr. Reporter,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
527,Jr. Receive Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
528,Jr. S.M.O B/T,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
529,Jr. S.M.O F/D,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
530,Jr. S.M.O F/L,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
531,Jr. S.M.O O/L,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
532,Jr. S.M.O P/M,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
533,Jr. S.M.O Z/Z,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
534,Jr. T.S.M.O,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
535,Jr. Computer Operator,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
536,Jr. E.C.O,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
537,Jr. Executive,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
538,Jr. Lady Guard,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
539,Jr. Needle Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
540,Jr. Plumber,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
541,Jr. Poly Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
542,Jr. Print Delivery Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
543,Jr. Relax Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
544,Jr. Scissor Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
545,Jr. Spotman,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
546,Jr. Sticker Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
547,Jr. Tag Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
548,Jr. Writer Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
549,Sr. Cutter Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
550,Sr. Receive Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
551,Sr. Receive Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
552,Sr. Sample Man,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
553,Sr. Sewing Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
554,Sr. G.P.Q,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
555,Sr. Q.I,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
556,Sr. Spotman,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
557,Sr. Iron Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
558,Sr. Quality Supervisor,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
559,S.S.M.O B/T,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
560,S.S.M.O F/D,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
561,S.S.M.O F/L,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
562,S.S.M.O O/L,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
563,S.S.M.O P/M,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
564,S.S.M.O Z/Z,Support / Other,Settings,Others,,,,,,,,,,,,,,,,,,,,
